entity_id_a,entity_id_b,name_a,name_b,bn_root_a,bn_root_b,province_a,province_b,total_flow_a,total_flow_b,edit_type,name_similarity_score
58237,356622,Avalanche Canada Foundation / Fondation Avalanche Canada,Avalanche Canada Foundation,869000349,869000346,BC,AB,13954475.0,1000.0,substitution,100.0
97546,223237,Inuit Circumpolar Council Canada,Inuit Circumpolar Council Canada,118966135,118966134,ON,ON,13452301.48,449530.0,substitution,100.0
125771,245909,Elmer's Welding & Manufacturing Ltd.,Elmer's Welding & Manufacturing Ltd.,101617520,101657520,MB,MB,13251703.0,499920.0,substitution,100.0
3310,362331,THE EVANGELICAL FELLOWSHIP OF CANADA/ALLIANCE EVANGELIQUE DUCANADA,EFC-Evangelical Fellowship of Canada,107353922,707353922,ON,ON,13693039.0,4095.0,substitution,93.5
7947,351005,SYNOD OF THE DIOCESE OF EDMONTON,THE SYBNOD OF THE DIOCESE OF EDMONTON,108061441,108061444,AB,AB,13387114.0,214948.0,substitution,97.8
149622,359627,Golf Canada Foundation,GOLF CANADA FOUNDATION,126408129,126508129,ON,ON,13168239.0,310400.0,substitution,100.0
57466,416870,CNEWA CANADA,Snewa Canada,867757502,867557502,ON,ON,13443459.0,640.0,substitution,91.7
78674,416411,BUILDING A JEWISH TOMORROW,NCSY - BUILDING A JEWISH TOMORROW,896717352,893717352,ON,ON,13267396.0,50000.0,substitution,91.2
52938,421915,RUCHAMA FRAIDEL RELIEF ORGANIZATION,RICHAMA FRAIDEL RELIEF ORGANIZATION,859298440,759298440,ON,,12914841.0,17.0,substitution,95.5
25216,306683,WATERCAN/EAU VIVE CORPORATION - LA CORPORATION WATERCAN/EAU VIVE,Watercan/Eau Vivre Corporation,119288934,119289934,ON,ON,12875433.0,2000.0,substitution,100.0
122174,337151,Town of Port Hawkesbury,Town of Port Hawkesbury,108129099,108129009,NS,NS,12733013.0,12285.0,substitution,100.0
13195,345643,ERINOAKKIDS CENTRE FOR TREATMENT AND DEVELOPMENT,EnrinoakKids Centre for Treatment and Development,118901446,118901466,ON,ON,12496878.0,138048.0,substitution,98.9
6122,196270,NOR'WEST CO-OP COMMUNITY HEALTH CENTRE INC.,NorWest Co-op Community Health Centre Inc.,107787087,107781087,MB,MB,10516652.0,1755940.3199999998,substitution,90.7
104118,267496,The Salvation Army,The Salvation Army,107951810,107951816,ON,AB,11339292.08,130229.0,substitution,100.0
5650,365032,MAZON CANADA,MAZON CANADA,107680779,107680771,ON,QC,11410188.0,3750.0,substitution,100.0
104118,314802,The Salvation Army,SALVATION ARMY,107951810,107951818,ON,MB,11339292.08,72087.0,substitution,100.0
70601,344219,CANADIAN FRIENDS OF YETEV LEV,YETEV LEV. CANADIAN FRIENDS,890441579,890441578,QC,,11385302.0,3600.0,substitution,100.0
54420,419050,LAKESHORE COMMUNITY OUTREACH CENTRE INC.,"""Lakeshore Community Outreach Centre",862352754,086235275,ON,Mississauga,11358969.0,0.0,insertion_deletion,100.0
64601,352473,CALGARY SENIORS RESOURCE SOCIETY,Seniors s Resource Society of Calgary,886737352,886737359,AB,,11333724.0,516.0,substitution,96.0
75929,370554,PHILANTHROPIC FOUNDATIONS CANADA/FONDATIONS PHILANTHROPIQUES CANADA,PFC Philanthropic Foundations Canada,892952128,089295212,QC,ON,11260173.0,31567.0,insertion_deletion,94.1
189440,331627,Town of Smithers,TOWN OF SMITHERS,108129818,108029818,BC,BC,11106970.0,10000.0,substitution,100.0
17880,346007,MONTRÉAL YOUTH FOR CHRIST / JEUNESSE POUR CHRIST - MONTRÉAL,JEUNESS POUR CHRIST MONTREAL/MONTREAL YOUTH FOR CHRIST,119045268,119045269,QC,QC,10794673.0,51430.0,substitution,100.0
161587,172834,CANADIAN RUGBY UNION,RUGBY UNION OF CANADA,125210366,125240366,ON,ON,5073069.0,5717583.0,substitution,94.7
26962,336381,THE CHILDREN'S WISH FOUNDATION OF CANADA/LA FONDATION CANADIENNE REVES D'ENFANTS,Children's Wish Foundation of Canada,124038878,124033878,ON,SK,10599798.0,30.0,substitution,100.0
26962,408152,THE CHILDREN'S WISH FOUNDATION OF CANADA/LA FONDATION CANADIENNE REVES D'ENFANTS,"""Children's Wish Foundation of Canada",124038878,124038678,ON,Toronto,10599798.0,0.0,substitution,100.0
78660,405632,B C ABORIGINAL NETWORK ON DISABILITY SOCIETY,BC Aboriginal Network on disability Soc,896694098,896697098,BC,BC,10391523.0,221.0,substitution,93.3
306474,319053,Maccabi Canada,MACCABI CANADA,140092321,140095321,ON,,9862250.0,388898.0,substitution,100.0
36311,324726,COMMUNITY FOUNDATION GREY BRUCE,GREY BRUCE COMMUNITY FOUNDATION,141036228,141036288,ON,ON,10149861.0,1093.0,substitution,100.0
304207,397027,Toronto Symphony Orchestra,TORONTO SYMPHONY ORCHESTRA,105255535,105255835,ON,ON,10112376.0,35000.0,substitution,100.0
47176,323061,OPERATION SMILE CANADA FOUNDATION,OPERATION SMILE CANADA FOUNDATION,840643605,860643605,ON,BC,10055229.0,2040.0,substitution,100.0
72705,116665,JUNO BEACH CENTRE ASSOCIATION,Juno Beach Centre Association,891257149,891287149,QC,ON,1817560.0,8164981.0,substitution,100.0
11025,320787,CANADIAN MIDWEST DISTRICT OF THE CHRISTIAN AND MISSIONARY ALLIANCE,CHRISTIAN & MISSIONARY ALLIANCE CANADIAN MIDWEST DISTRICT,118834456,118864456,SK,SK,9676741.0,273808.0,substitution,100.0
10872,324829,CANADIAN BIBLE SOCIETY/LA SOCIETE BIBLIQUE CANADIENNE,CANADIAN BIBLE SOCIETY,118829647,118929647,ON,AB,9827253.0,15458.0,substitution,100.0
10872,402640,CANADIAN BIBLE SOCIETY/LA SOCIETE BIBLIQUE CANADIENNE,Canadian Bible Society,118829647,118829641,ON,AB,9827253.0,300.0,substitution,100.0
6058,374516,NORTHERN CANADA EVANGELICAL MISSION INC.,Northern Canada Evangelical Mission,107781296,107881296,SK,ON,9520286.0,10350.0,substitution,100.0
6108,307243,NORTHUMBERLAND UNITED WAY,United Way of Northumberland,107785339,107785329,ON,ON,9041981.0,77401.0,substitution,100.0
124681,181174,Enterprise Machine Intelligence and Learning Initiative,Enterprise Machine Intelligence and Learning Initiative,763638897,763638697,MB,MB,8830475.0,249997.0,substitution,100.0
8516,408499,CENTRE COMMUNAUTAIRE TYNDALE ST-GEORGES,CENRE COMMUNAUTAIRE TYNDALE ST-GEORGES,108146754,107146754,QC,QC,8834888.0,15000.0,substitution,98.7
16977,308319,L'EVEQUE CATHOLIQUE ROMAIN DE BATHURST,Evêque Catholique Romain Bathurst,119018737,119018787,NB,NB,8676216.0,6799.0,substitution,97.1
16977,382449,L'EVEQUE CATHOLIQUE ROMAIN DE BATHURST,ÉVÉQUE CATHOLIQUE ROMAIN BATHURST,119018737,119078737,NB,NB,8676216.0,826.0,substitution,97.1
316312,379434,Cornell University,CORNELL UNIVERSITY,150432082,150532082,NY,NY,8626953.0,3456.0,substitution,100.0
29721,335463,SASKATCHEWAN SYNOD EVANGELICAL LUTHERAN CHURCH IN CANADA INC.,Evangelical Lutheran Church in Canada (Sask Synod),130739865,130739845,SK,SK,8414470.0,51143.0,substitution,92.3
78105,347568,SOUTHWESTERN ONTARIO YOUTH FOR CHRIST,SOUTHWESTERN ONTARIO - YOUTH FOR CHRIST/YOUTH UNLIMITED,895569044,895589044,ON,ON,8288216.0,6000.0,substitution,100.0
2388,333321,CHINESE CHRISTIAN MISSION OF CANADA,Chinese Christian Mission of Canada,106915598,106915538,BC,QC,8208919.0,2100.0,substitution,100.0
