bnless_entity_id,bnless_name,branch_suffix,bn_entity_id,bn_entity_name,bn_root,province,bn_entity_flow,bnless_entity_flow
379215,City of Ottawa - Bob Macquarrie Rec Centre Total,Bob Macquarrie Rec Centre Total,100726,City of Ottawa,863935995,ON,3892904063.64,437.0
387574,CITY OF OTTAWA - PINECREST RECREATION COMPLEX,PINECREST RECREATION COMPLEX,100726,City of Ottawa,863935995,ON,3892904063.64,377.0
401755,City of Ottawa - Skating,Skating,100726,City of Ottawa,863935995,ON,3892904063.64,353.0
375411,City of Ottawa - Parks & Rec,Parks & Rec,100726,City of Ottawa,863935995,ON,3892904063.64,335.0
357810,CITY OF OTTAWA - EVA JAMES MEMORIAL,EVA JAMES MEMORIAL,100726,City of Ottawa,863935995,ON,3892904063.64,327.0
337061,CITY OF OTTAWA - SAWMILL CREEK,SAWMILL CREEK,100726,City of Ottawa,863935995,ON,3892904063.64,314.0
388669,City of Ottawa - Brewer Pool and Arena,Brewer Pool and Arena,100726,City of Ottawa,863935995,ON,3892904063.64,305.0
375477,CITY OF OTTAWA - SPLASH WAVE POOL,SPLASH WAVE POOL,100726,City of Ottawa,863935995,ON,3892904063.64,303.0
392243,City of Ottawa - Beacon Hill North Total,Beacon Hill North Total,100726,City of Ottawa,863935995,ON,3892904063.64,300.0
360549,CITY OF OTTAWA - DEBORAH ANNE KIRWAN POOL,DEBORAH ANNE KIRWAN POOL,100726,City of Ottawa,863935995,ON,3892904063.64,250.0
392318,CITY OF OTTAWA - THERAPEUTIC RECREATION PROGRAMS,THERAPEUTIC RECREATION PROGRAMS,100726,City of Ottawa,863935995,ON,3892904063.64,200.0
343346,City of Ottawa - Manotick Arena,Manotick Arena,100726,City of Ottawa,863935995,ON,3892904063.64,200.0
379297,City of Ottawa - Fallingbrook Community Centre,Fallingbrook Community Centre,100726,City of Ottawa,863935995,ON,3892904063.64,197.0
334626,City of Ottawa - Dempsey Community Centre,Dempsey Community Centre,100726,City of Ottawa,863935995,ON,3892904063.64,195.0
392244,City of Ottawa - Ray Friel Rec. Complex Total,Ray Friel Rec. Complex Total,100726,City of Ottawa,863935995,ON,3892904063.64,183.0
375908,CITY OF OTTAWA - RAY FRIEL RECREATION COMPLEX,RAY FRIEL RECREATION COMPLEX,100726,City of Ottawa,863935995,ON,3892904063.64,180.0
396952,CITY OF OTTAWA - HUNT CLUB-RIVERSIDE PARK,HUNT CLUB-RIVERSIDE PARK,100726,City of Ottawa,863935995,ON,3892904063.64,162.0
384451,CITY OF OTTAWA - CENTREPOINTE VOLUNTEERS,CENTREPOINTE VOLUNTEERS,100726,City of Ottawa,863935995,ON,3892904063.64,150.0
331202,CITY OF OTTAWA - JIM DURRELL RECREATION CENTRE,JIM DURRELL RECREATION CENTRE,100726,City of Ottawa,863935995,ON,3892904063.64,110.0
396953,CITY OF OTTAWA - TERRY FOX ATHLETIC FACILITY,TERRY FOX ATHLETIC FACILITY,100726,City of Ottawa,863935995,ON,3892904063.64,94.0
329622,City of Ottawa - Bernard-Grandmaître Arena,Bernard-Grandmaître Arena,100726,City of Ottawa,863935995,ON,3892904063.64,39.0
105054,Government of Yukon - Department of Health and Social Services,Department of Health and Social Services,98682,Government Of Yukon,107442840,YT,2423909881.67,178371014.0
168182,CREE NATION GOVERNMENT (GRAND COUNCIL OF THE CREES),GRAND COUNCIL OF THE CREES,107978,CREE NATION GOVERNMENT,888565090,QC,2597491620.53,52500.0
172957,Cree Nation Government (Grand Council of the Crees),Grand Council of the Crees,107978,CREE NATION GOVERNMENT,888565090,QC,2597491620.53,28155.0
256798,Cree Nation Government – Environment and Remedial Works Department,Environment and Remedial Works Department,107978,CREE NATION GOVERNMENT,888565090,QC,2597491620.53,15000.0
140418,GOVERNMENT OF YUKON - DEPARTMENT OF ENVIRONMENT,DEPARTMENT OF ENVIRONMENT,98682,Government Of Yukon,107442840,YT,2423909881.67,30732919.9
191721,GOVERNMENT OF YUKON - DEPARTMENT OF COMMUNITY SERVICES,DEPARTMENT OF COMMUNITY SERVICES,98682,Government Of Yukon,107442840,YT,2423909881.67,8389408.0
234566,Government of Yukon - Department of Justice,Department of Justice,98682,Government Of Yukon,107442840,YT,2423909881.67,3892931.31
163729,GOVERNMENT OF YUKON - YUKON BERINGIA INTERPRETIVE CENTRE,YUKON BERINGIA INTERPRETIVE CENTRE,98682,Government Of Yukon,107442840,YT,2423909881.67,11660.0
191923,LITTLE RED RIVER CREE NATION - KAYAS CULTURAL COLLEGE,KAYAS CULTURAL COLLEGE,105174,Little Red River Cree Nation,107630345,AB,2051079275.3299997,29550.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,311635,UNICEF,122680272,,167060843.0,1683462935.0
287864,PROVINCE OF NOVA SCOTIA - NOVA SCOTIA MUSEUM,NOVA SCOTIA MUSEUM,27114,PROVINCE OF NOVA SCOTIA,125030429,NS,1769048318.8,689102.0
285835,Province of Nova Scotia - Department of Energy,Department of Energy,27114,PROVINCE OF NOVA SCOTIA,125030429,NS,1769048318.8,100400.0
199504,PROVINCE OF NOVA SCOTIA - MUSEUM OF INDUSTRY,MUSEUM OF INDUSTRY,27114,PROVINCE OF NOVA SCOTIA,125030429,NS,1769048318.8,13500.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,181476,UNICEF,122690572,ON,73507750.0,1683462935.0
202037,GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO (THE) - L'UNIVERSITÉ LAVAL,L'UNIVERSITÉ LAVAL,8651,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,108162330,ON,1701976286.0,3450709.0
192446,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO - DICTIONARY OF CANADIAN BIOGRAPHY,DICTIONARY OF CANADIAN BIOGRAPHY,8651,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,108162330,ON,1701976286.0,3000000.0
210446,GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO (THE) - ART MUSEUM AT THE UNIVERSITY OF TORONTO,ART MUSEUM AT THE UNIVERSITY OF TORONTO,8651,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,108162330,ON,1701976286.0,120000.0
298852,GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO (THE) - THOMAS FISHER RARE BOOK LIBRARY,THOMAS FISHER RARE BOOK LIBRARY,8651,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,108162330,ON,1701976286.0,41600.0
198853,GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO (THE) - DEPARTMENT OF ART HISTORY,DEPARTMENT OF ART HISTORY,8651,THE GOVERNING COUNCIL OF THE UNIVERSITY OF TORONTO,108162330,ON,1701976286.0,5000.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,393753,UNICEF,122660572,ON,40625.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,420655,UNICEF,122686930,,3500.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,329447,UNICEF,122630572,ON,1000.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,332192,UNICEF,122080572,ON,1000.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,380603,UNICEF,122060572,ON,600.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,378121,UNICEF,126680572,ON,60.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,370228,UNICEF,127680572,SK,59.0,1683462935.0
97306,UNICEF - United Nations Children's Fund,United Nations Children's Fund,404389,Unicef,120680572,,40.0,1683462935.0
125565,The Hospital for Sick Children - Suspected Child Abuse and Neglect Program,Suspected Child Abuse and Neglect Program,8164,THE HOSPITAL FOR SICK CHILDREN FOUNDATION,108084419,ON,1649641886.0,962500.0
341711,Hospital for Sick Children Foundation - Burn Unit,Burn Unit,8164,THE HOSPITAL FOR SICK CHILDREN FOUNDATION,108084419,ON,1649641886.0,3855.0
159116,Toronto Metropolitan University (formely Ryerson University),formely Ryerson University,20340,TORONTO METROPOLITAN UNIVERSITY,119130383,ON,1562042512.03,1001137.0
276005,TORONTO METROPOLITAN UNIVERSITY - THE IMAGE CENTRE,THE IMAGE CENTRE,20340,TORONTO METROPOLITAN UNIVERSITY,119130383,ON,1562042512.03,304542.0
238047,"GOUVERNEMENT DU QUÉBEC - MINISTÈRE DE L'ÉDUCATION, DE L'ENSEIGNEMENT SUPÉRIEUR ET DE LA RECHERCHE","MINISTÈRE DE L'ÉDUCATION, DE L'ENSEIGNEMENT SUPÉRIEUR ET DE LA RECHERCHE",86938,GOUVERNEMENT DU QUÉBEC,869515601,QC,1490535460.0,9389532.0
110135,JEWISH COMMUNITY FOUNDATION OF MONTREAL / FONDATION COMMUNAUTAIRE JUIVE DE MONTRÉAL (LA),LA,15566,Jewish Community Foundation of Montreal / La Fondation Communautaire Juive de Montréal,118974179,QC,1489568735.0,7042897.0
192378,GOUVERNEMENT DU QUÉBEC - DIRECTION DU SPORT ET DE L'ACTIVITE PHYSIQUE,DIRECTION DU SPORT ET DE L'ACTIVITE PHYSIQUE,86938,GOUVERNEMENT DU QUÉBEC,869515601,QC,1490535460.0,5272000.0
201754,GOUVERNEMENT DU QUÉBEC - MINISTÈRE DE L'ÉDUCATION,MINISTÈRE DE L'ÉDUCATION,86938,GOUVERNEMENT DU QUÉBEC,869515601,QC,1490535460.0,2765303.0
234632,The University of British Columbia - The University of British Columbia,The University of British Columbia,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,90658336.0
163660,QUEEN'S UNIVERSITY AT KINGSTON - QUEEN'S QUARTERLY,QUEEN'S QUARTERLY,6632,QUEEN'S UNIVERSITY AT KINGSTON,107868705,ON,1440087534.43,155459.0
254843,Nunavut Tunngavik Incorporated (NTI),NTI,107329,Nunavut Tunngavik Inc.,890995764,NU,1430667128.4,50000.0
112046,UNIVERSITY OF BRITISH COLUMBIA - MUSEUM OF ANTHROPOLOGY,MUSEUM OF ANTHROPOLOGY,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,2919997.0
124985,"The University of British Columbia (Klein, Peter)","Klein, Peter",8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,2509633.0
230682,University of British Columbia (Gender and Sexual Health Equity),Gender and Sexual Health Equity,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,1029650.0
224745,UNIVERSITY OF BRITISH COLUMBIA - CENTRE FOR THE STUDY OF HISTORICAL CONSCIOUSNESS,CENTRE FOR THE STUDY OF HISTORICAL CONSCIOUSNESS,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,505000.0
272569,UNIVERSITY OF BRITISH COLUMBIA (THE) - OKANAGAN CAMPUS SCHOOL OF SOCIAL WORK,OKANAGAN CAMPUS SCHOOL OF SOCIAL WORK,8645,UNIVERSITY OF BRITISH COLUMBIA,108161779,BC,1364996271.5699997,380000.0
