source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
14666089,BC,corporations_canada,Nectara,,471-641 West Front St,V0G1M0,Kaslo,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,40.0,,,,,,needs_review,193388,Nectar Yoga Ltd.,77.77777777777779,70.58823529411764,2,402000.0,mid_band_score,,,
13241262,QC,corporations_canada,13241262 Canada Association,,"3001, 12e avenue nord",J1H5N4,Sherbrooke,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,0,,,,,,needs_review,201660,13242692 canada inc.,87.5,75.0,1,15000.0,mid_band_score,,,
15166241,MB,corporations_canada,The EdResearch Hub,,2535 Waverley Street,R3Y0Y2,Winnipeg,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,37.5,,,,,,needs_review,,,,,,,no_blocking_key,,,
15026202,ON,corporations_canada,Kinsland Community Garden,,3660 Midland Avenue,M1V0B8,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,57.14285714285714,,,,,,needs_review,151773,KINSMEN GARDEN COURT,75.55555555555556,65.11627906976744,1,800.0,mid_band_score,,,
14588177,ON,corporations_canada,The LSM Foundation,,202-25 Villa Road,M8W1M4,Toronto,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,35.29411764705882,,,,,,needs_review,,,,,,,no_blocking_key,,,
14705866,ON,corporations_canada,Ottawa Inclusive Sport Foundation,Fondation Pour le Sport Inclusif d'Ottawa,3664 Revelstoke Drive,K1V7C3,Ottawa,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,62.5,,,,,,needs_review,141934,Ottawa Sport Council,78.04878048780488,65.11627906976744,5,31334.0,mid_band_score,,,
14329139,ON,corporations_canada,Association Biabia yadjal,,40 Runcorn Street,L2M1N8,St. Catharines,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,48.0,,,,,,needs_review,,,,,,,no_blocking_key,,,
14615662,ON,corporations_canada,Canadian Athlete Foundation,,53 Campbell Avenue East,L0P1B0,Campbellville,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,47.05882352941176,,,,,,needs_review,126486,CANADIAN ART FOUNDATION (THE),78.57142857142857,78.57142857142857,5,409615.0,mid_band_score,,,
14392442,AB,corporations_canada,Southern Community Food Security,,257 Railway Ave bay 4,T0K2S0,Raymond,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,42.85714285714286,,,,,,needs_review,347080,Southern Cortes Community Association,77.19298245614034,77.19298245614034,1,47500.0,mid_band_score,,,
15074665,ON,corporations_canada,Figtree Academy,,2530 Eglinton Avenue West,L5M0Z5,Mississauga,Canada Not-for-profit Corporations Act,non_charity_nonprofit,,,52.63157894736843,,,,,,needs_review,,,,,,,no_blocking_key,,,
