source_id,jurisdiction,discovery_source,legal_name,trade_names,address,postal,city,legal_form,charity_status,matched_bn,matched_cra_name,charity_match_score,charity_runner_up_score,charity_match_method,social_status,social_signal,social_match_score,federal_grant_status,matched_grant_entity_id,matched_grant_entity_name,federal_grant_match_score,federal_grant_runner_up_score,federal_grants_received,federal_dollars_received,review_flag,discovery_snapshot_date,cra_snapshot_date,grants_snapshot_date
15453038,ON,corporations_canada,Grace Life Ministries International,,355 Moffatt St,K7C3L6,Carleton Place,Canada Not-for-profit Corporations Act,needs_review,734906803,Grace Life Ministries International,100.0,78.04878048780488,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
9720391,ON,corporations_canada,PRINCE EDWARD COUNTY JAZZ FESTIVAL,,654 Whitney Rd,K0K1A0,Prince Edward,Canada Not-for-profit Corporations Act,needs_review,810966762,PRINCE EDWARD COUNTY JAZZ FESTIVAL,100.0,45.614035087719294,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
16803750,ON,corporations_canada,Porcupine United Football Club,,623 Earl St,P0N1C0,Porcupine,Canada Not-for-profit Corporations Act,needs_review,838893402,PORCUPINE UNITED CHURCH,78.04878048780488,31.372549019607842,fuzzy,,,,,,,,,,,mid_band_score,,,
16904459,ON,corporations_canada,ROSA MARIA FOUNDATION,,4040 Steeles Avenue West Unit 49/2,L4L4Y5,Woodbridge,Canada Not-for-profit Corporations Act,needs_review,897224077,RADIO MARIA CANADA/RADIO-MARIE CANADA,76.19047619047619,58.82352941176471,fuzzy,,,,,,,,,,,mid_band_score,,,
15574986,AB,corporations_canada,Canadian Covid Society,Société Canadienne de la Covid,314 11a St NW,T2N1X8,Calgary,Canada Not-for-profit Corporations Act,needs_review,119227643,THE CLASSICAL ASSOCIATION OF CANADA/SOCIETE CANADIENNE DES E,76.92307692307692,72.72727272727273,fuzzy,,,,,,,,,,,mid_band_score,,,
17124082,ON,corporations_canada,WORLD CENTRE FOR MISSION MOBILIZATION,,157 Habitant Dr,M9M2P4,Toronto,Canada Not-for-profit Corporations Act,needs_review,862102704,WORLD CENTRE FOR MISSION MOBILIZATION,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
13221733,ON,corporations_canada,Kingston BMX Association,,221-37 Cassidy st,K7K7B3,Kingston,Canada Not-for-profit Corporations Act,needs_review,119307569,YOUTH FOR CHRIST/KINGSTON,80.0,60.0,fuzzy,,,,,,,,,,,mid_band_score,,,
17371748,SK,corporations_canada,Encounter Church Fellowship,,366 Buffalo Place,S9H4X2,Swift Current,Canada Not-for-profit Corporations Act,needs_review,132256405,CORNERSTONE FELLOWSHIP CHURCH,76.19047619047619,48.64864864864865,fuzzy,,,,,,,,,,,mid_band_score,,,
17617208,ON,corporations_canada,North East Oakville Fair,,1146 Falgarwood Dr,L6H2L3,Oakville,Canada Not-for-profit Corporations Act,needs_review,853760726,FAITH BAPTIST CHURCH OAKVILLE,78.26086956521739,63.41463414634146,fuzzy,,,,,,,,,,,mid_band_score,,,
11440306,BC,corporations_canada,Bowen Island Archery Club,,376 Creek Rd,V0N1G1,Bowen Island,Canada Not-for-profit Corporations Act,needs_review,118814136,BOWEN ISLAND MUSEUM & ARCHIVES,75.0,61.53846153846154,fuzzy,,,,,,,,,,,mid_band_score,,,
9367284,ON,corporations_canada,Ottawa Tamil Association,,84 Dragon Park Dr,K2J0H5,Ottawa,Canada Not-for-profit Corporations Act,needs_review,839016771,Ottawa Torah Centre,75.0,69.23076923076923,fuzzy,,,,federal_grant_match,106630,Ottawa Tamil Association,100.0,,12,66795.0,mid_band_score,,,
17534876,ON,corporations_canada,Vision Revival Ministries,,2344 Keele St,M6M4A4,Toronto,Canada Not-for-profit Corporations Act,needs_review,878898519,THE REVIVAL UNITED MINISTRIES,80.0,60.0,fuzzy,,,,,,,,,,,mid_band_score,,,
3086721,ON,corporations_canada,Mortgage Professionals Canada,,6 Ronrose Dr,L4K4R3,Concord,Canada Not-for-profit Corporations Act,needs_review,872733217,Mortgage Professionals Canada Foundation / Fondation des professionnels hypothecaires du Canada,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
18064326,ON,corporations_canada,Orangeville Helps,,347036 Mono Centre Rd,L9W6S2,Mono,Canada Not-for-profit Corporations Act,needs_review,119020675,LIONS CLUB OF ORANGEVILLE CHARITABLE TRUST,82.35294117647058,78.57142857142857,fuzzy,,,,,,,,,,,mid_band_score,,,
10824518,QC,corporations_canada,ASSEMBLÉE CHRÉTIENNE L'ÉTERNEL EST ICI (E.E.I),,1 Place De Darney,J6Z4M8,Lorraine,Canada Not-for-profit Corporations Act,needs_review,762008530,ASSEMBLÉE CHRÉTIENNE L'ÉTERNEL EST ICI (E.E.I),100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
12947684,AB,corporations_canada,The Ministry of Repentance and Holiness Canada,,10 SOUTH SHORE ROAD,T1X2Y4,CHESTERMERE,Canada Not-for-profit Corporations Act,needs_review,742525132,THE MINISTRY OF REPENTANCE AND HOLINESS CANADA,100.0,,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
18031444,ON,corporations_canada,FIRST LOBO BAPTIST CHURCH,,22907 Nairn Rd,N0L1R0,Komoka,Canada Not-for-profit Corporations Act,needs_review,118918325,FIRST LOBO BAPTIST CHURCH,100.0,38.46153846153846,fuzzy,,,,,,,,,,,bn_contradicts_fuzzy_match,,,
4474937,ON,corporations_canada,CAMPBELLFORD SEYMOUR COMMUNITY DEVELOPMENT CORPORATION,,39 DOXSEE AVENUE NORTH,K0L1L0,CAMPBELLFORD,Canada Not-for-profit Corporations Act,needs_review,898077912,COMMUNITY FOUNDATION OF CAMPBELLFORD/SEYMOUR AND NORTHUMBERLAND,80.45977011494253,67.6056338028169,fuzzy,,,,,,,,,,,mid_band_score,,,
