category,recipient_legal_name,business_number,city,province,n_grants,total_cad,first_year,last_year,example_funder,receipt_description_snippet,receipt_ref_number,entity_id,match_method,entity_kind,bn_root,latest_revenue,fiscal_period_end
supportive_housing,SIDA AIDS Moncton Inc,,Moncton,NB,1,34763.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00195,141589,unmatched_new,other_org,,,
emergency_shelter,SIDA AIDS Moncton Inc,,Moncton,NB,1,34763.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00195,141589,unmatched_new,other_org,,,
supportive_housing,Addictions Recovery Incorporated,,Winnipeg,MB,1,34633.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00271,214798,unmatched_new,other_org,,,
emergency_shelter,Addictions Recovery Incorporated,,Winnipeg,MB,1,34633.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00271,214798,unmatched_new,other_org,,,
supportive_housing,The Community Development Council of Quinte,,Belleville,ON,1,34268.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00085,245891,unmatched_new,other_org,,,
emergency_shelter,The Community Development Council of Quinte,,Belleville,ON,1,34268.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00085,245891,unmatched_new,other_org,,,
supportive_housing,London Housing Registry,,London,ON,1,33622.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00078,150618,unmatched_new,other_org,,,
emergency_shelter,London Housing Registry,,London,ON,1,33622.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00078,150618,unmatched_new,other_org,,,
supportive_housing,Westman Recovery Inc.,,Brandon,MB,1,33000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00282,318966,unmatched_new,other_org,,,
emergency_shelter,Westman Recovery Inc.,,Brandon,MB,1,33000.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00282,318966,unmatched_new,other_org,,,
transitional_housing,"AHLUWALIA, Amrita",,Toronto,ON,1,33000.0,2012,2012,Canadian Institutes of Health Research | Instituts de recherche en santé du Canada,Transitional Housing:  A pilot study of its impact on housing sustainability and health outcomes of people living with HIV/AIDS in Ontario,236-2011-2012-Q4-00830,239281,unmatched_new,other_org,,,
supportive_housing,South Fraser Community Services Society,,Surrey,BC,1,32700.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00093,263428,unmatched_new,other_org,,,
emergency_shelter,South Fraser Community Services Society,,Surrey,BC,1,32700.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00093,263428,unmatched_new,other_org,,,
supportive_housing,John Howard Society of Greater Moncton Inc.,,Moncton,NB,1,32560.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00079,202723,unmatched_new,other_org,,,
emergency_shelter,John Howard Society of Greater Moncton Inc.,,Moncton,NB,1,32560.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q2-00079,202723,unmatched_new,other_org,,,
supportive_housing,Fédération des OSBL d'habitation de Montréal (FOHM) Inc.,,Montréal,QC,1,32540.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00041,146267,unmatched_new,other_org,,,
emergency_shelter,Fédération des OSBL d'habitation de Montréal (FOHM) Inc.,,Montréal,QC,1,32540.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q3-00041,146267,unmatched_new,other_org,,,
supportive_housing,Urban native Youth Association,,Vancouver,BC,1,32272.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00096,178837,unmatched_new,other_org,,,
emergency_shelter,Urban native Youth Association,,Vancouver,BC,1,32272.0,2007,2007,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2006-Q4-00096,178837,unmatched_new,other_org,,,
supportive_housing,Brant Food for Thought,,Brantford,ON,1,32240.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00093,245892,unmatched_new,other_org,,,
emergency_shelter,Brant Food for Thought,,Brantford,ON,1,32240.0,2006,2006,Employment and Social Development Canada | Emploi et Développement social Canada,Increase the availability and access to a range of services and facilities along the continuum from homelessness to self-sufficiency - emergency shelters - transitional/supportive housing - prevention.,GC-2005-Q4-00093,245892,unmatched_new,other_org,,,
